MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
C,5010413,Falco tinnunculus,14,2,1994,C. A. Safi,Marruecos,5,0,Extranjero,,,,,,,,263,669,Encontrado muerto
A,3525390,Falco tinnunculus,29,5,1996,"Vierhuizen, Groningen",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,3525390,Falco tinnunculus,1,3,1998,"La lantejuela, Sevilla",España,7,0,Zamalla,,,,,,,,641,1988,Encontrado muerto
A,S147492,Falco tinnunculus,16,6,1994,"Lapua, Vaasa Vasa",Finlandia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,S147492,Falco tinnunculus,15,1,1995,"Gerena, Sevilla",España,5,0,M. Vazquez,,,,,,,,213,3441,Encontrado muerto
A,S219957,Coturnix coturnix,10,7,1997,"Rio Marcellengo, Sommariva Bos, Cuneo",Italia,3,1,Extranjero,,,,,,,,,,Anillamiento
C,S219957,Coturnix coturnix,16,8,1997,"Ayerbe, Huesca",España,3,1,M. Vazquez,,,,,,,,37,739,Cazado con escopeta
A,S264664,Coturnix coturnix,23,8,1999,"Baroli, Baldissero D´Alba, Cuneo",Italia,3,1,Extranjero,,,,,,,,,,Anillamiento
C,S264664,Coturnix coturnix,5,12,2000,"Hinojos, Huelva",España,5,1,M. Vazquez,,,,,,,,470,1462,Cazado con escopeta
A,7006954,Fulica atra,9,8,1987,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,6,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,7006954,Fulica atra,30,12,1988,"Moulay, Bouselham",Marruecos,2,0,Particular,,,,,,,,506,254,Mantenida en cautividad
A,7044444,Fulica atra,22,10,2004,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,7044444,Fulica atra,8,1,2006,"Saintes Maries de la Mer, Bouches du Rhone",Francia,2,0,Particular,,,,,,,,443,1139,Cazado con escopeta
A,T0096060,Haemantopus ostralegus,25,8,1995,"Scanno di Gorino, Goro, Ferrara",Italia,6,0,Extranjero,,,,,,,,,,Anillamiento
C,T0096060,Haemantopus ostralegus,8,12,2000,"Marismas del Odiel, Huelva",España,6,0,M. Vazquez,,,,,,,,,,control 
A,IS000038,Vanellus vanellus,25,5,1997,"E Taldom, Moskow",Rusia,2,1,Extranjero,,,,,,,,,,Anillamiento
C,IS000038,Vanellus vanellus,19,12,1998,"Alcolea del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,573,3821,Cazado con escopeta
A,OA81352,Charadrius hiaticula,20,7,2000,"Langenwerder, Neubrandenburg",Alemania,2,0,Extranjero,,,,,,,,,,Anillamiento
C,OA81352,Charadrius hiaticula,21,4,2001,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,4,2,M. Vazquez,,,,,,,,270,2296,control 
A,T012081,Charadrius hiaticula,24,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,T012081,Charadrius hiaticula,15,5,2000,"Seal Sands, Teesmoth, Cleveland",Gran Bretaña,4,0,Extranjero,,,,,,,,752,1963,control 
A,BV74861,Charadrius hiaticula,3,5,1993,"Battlehill, Annan Dumfries, Galloway Region",Gran Bretaña,4,1,Extranjero,,,,,,,,,,Anillamiento
C,BV74861,Charadrius hiaticula,9,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,1802,1978,control 
A,3355448,Charadrius hiaticula,17,8,1987,"Sverige, Holand",Suecia,4,0,Extranjero,,,,,,,,,,Anillamiento
C,3355448,Charadrius hiaticula,26,9,1988,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,6,0,M. Vazquez,2,128,,,,,,,,control 
A,RBJ,Charadrius alexandrinus,15,8,1994,"St Peter Ording, Northwest of Hamburg",Alemania,2,2,Extranjero,,,,,,,,,,Anillamiento
C,RBJ,Charadrius alexandrinus,21,8,1996,"Los Palacios, Sevilla",España,4,0,M. Vazquez,,,,,,,,,,control 
A,6329130,Pluvialis apricaria,7,8,1994,"Krummhorn, Weser Ems , Excep Islas",Alemania,4,0,Extranjero,,,,,,,,,,Anillamiento
C,6329130,Pluvialis apricaria,15,1,2000,"Alcolea del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,1987,2060,Cazado con escopeta
A,1188551,Pluvialis apricaria,21,11,1981,"Sexbierun, Friesland, Holland",Holanda,3,0,Extranjero,,,,,,,,,,Anillamiento
C,1188551,Pluvialis apricaria,2,1,1983,"Isla Mayor, Sevilla",España,7,0,M. Vazquez,,,,,,,,,2016,Cazado con escopeta
A,1318634,Pluvialis apricaria,11,11,1994,"Marrum Marrumer Mieden, Friesland",Holanda,4,0,Extranjero,,,,,,,,,,Anillamiento
C,1318635,Pluvialis apricaria,22,8,2003,"Pilas, Sevilla",España,A,0,M. Vazquez,,,,,,,,3206,2010,Cazado con escopeta fecha carta
A,M13577,Gallinago gallinago,6,10,1992,"Bazolles, Nievre",Francia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,M13577,Gallinago gallinago,26,11,1994,"Isla Mayor, Sevilla",España,7,0,M. Vazquez,,,,,,,,781,1352,Cazado con escopeta
A,E148856,Numenius phaeopus,24,4,1988,"Merksplas, Antwerpen, Amberes",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,E148856,Numenius phaeopus,5,5,2005,"Trebujena, Cadiz",España,A,0,M. Vazquez,,,,,,,,6220,1833,Cazado con escopeta fecha carta
A,3269650,Limosa limosa,11,6,1978,"Homnerts, Friesland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,3269650,Limosa limosa,15,11,1981,"Isla Mayor, Sevilla",España,9,0,LEO BIAGGI,,,,,,,,1235,1999,Cazado con escopeta
A,3340188,Limosa limosa,15,5,1982,"Langezwaag, Friesland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,3340188,Limosa limosa,15,12,1989,"Isla Mayor, Sevilla",España,A,0,LEO BIAGGI,,,,,,,,2765,2007,Cazado con escopeta fecha carta
A,4075446,Limosa limosa,18,8,2001,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,4075446,Limosa limosa,8,5,2003,"Heiloo, Noord Holland",Holanda,4,2,Extranjero,,,,,,,,628,1961,Capturada por un animal silvestre
A,3X23809,Actitis hypoleucos,30,7,1986,"Fisriffoux, Namen",Belgica,2,0,Extranjero,,,,,,,,,,Anillamiento
C,3X23809,Actitis hypoleucos,12,8,1986,Chechaouen,Marruecos,2,0,LEO BIAGGI,,,,,,,,,,Cazado con escopeta
A,4364796,Tringa ochropus,8,7,2006,"Vadboden,Hornborgasjön, Västra Götaland",Suecia,2,0,Extranjero,,,,,,,,,,Anillamiento
C,4364796,Tringa ochropus,31,8,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,2,0,Zamalla,,,,,,,,54,2691,control 
A,1183521,Tringa totanus,1,6,1981,"Arkemeen, Gelderland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,1183521,Tringa totanus,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,Zamalla,,,,,,,,3114,1916,Cazado con escopeta fecha carta
A,GE7646,Tringa totanus,17,4,1977,"Ile de Malprat, Biganos, Gironde",Francia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,GE7646,Tringa totanus,1,3,1981,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz",España,A,0,LEO BIAGGI,,,,,,,,,,Cazado con escopeta
A,4048242,Tringa totanus,14,9,1995,"Marismas del Odiel, Huelva",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,4048242,Tringa totanus,9,5,1999,"Westerland, Nomerpolder, Noord Holland",Holanda,4,0,Extranjero,,,,,,,,1333,2276,control 
A,4068814,Tringa totanus,7,10,2002,"Salina del Pilar,Puerto Real, Cadiz",España,4,0,Zamalla,,,,,,,,,,Anillamiento
C,4068814,Tringa totanus,19,6,2006,"Den Helder, Noord Holland",Holanda,A,0,Extranjero,,,,,,,,1351,2015,control 
A,GA05607,Tringa totanus,22,8,1983,"Ujscie Redy, Gdansk",Polonia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,GA05607,Tringa totanus,7,9,1999,"Salina del Pilar,Puerto Real, Cadiz",España,A,0,Zamalla,,,,,,,,5860,2768,control 
A,6283332,Tringa erhytropus,26,8,1972,"Rieselfelder, DFFM Munster",Alemania,3,0,Extranjero,,,,,,,,,,Anillamiento
C,6283332,Tringa erhytropus,15,1,1982,"Puebla del Rio, Sevilla",España,A,0,LEO BIAGGI,,,,,,,,3429,1999,Cazado con escopeta
A,4098815,Philomachus pugnax,3,8,2002,"Brazo del Este, Puebla del Rio, Sevilla",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,4098815,Philomachus pugnax,22,4,2005,"Cornwerd, Friesland",Holanda,4,1,Extranjero,,,,,,,,966,1988,control 
A,GN04923,Calidris canutus,30,7,1992,"Rewa, Kosakowo, Gdansk",Polonia,4,2,Extranjero,,,,,,,,,,Anillamiento
C,GN04923,Calidris canutus,4,5,1998,"Salinas de Bonanza,Sanlucar de Barrameda, Cadiz",España,4,0,Zamalla,,,,,,,,2104,2740,control 
A,KT13737,Calidris alpina,27,7,1988,"Sappi, Turku Pori, Abo Bjorneborg",Finlandia,6,1,Extranjero,,,,,,,,,,Anillamiento
C,KT13737,Calidris alpina,20,11,1988,"Lucio del Italiano, Puebla del Rio, Sevilla",España,4,0,LEO BIAGGI,,,,,,,,113,3295,Cazado con escopeta
A,T007228,Calidris alpina,24,9,1995,"Marismas del Odiel, Huelva",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,T007228,Calidris alpina,27,8,1996,"Tipperme, Jylland",Dinamarca,5,0,Extranjero,,,,,,,,338,2360,control 
A,T013291,Calidris alpina,19,8,1998,"Salina del Pilar,Puerto Real, Cadiz",España,3,0,Zamalla,,,,,,,,,,Anillamiento
C,T013291,Calidris alpina,2,8,2003,"Admiral´S Farm, Norfolk",Gran Bretaña,A,0,Extranjero,,,,,,,,1809,1877,control 
A,T027624,Calidris alpina,15,9,2001,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz",España,4,0,Zamalla,,,,,,,,,,Anillamiento
C,T027624,Calidris alpina,1,4,2003,"Res Nat de Moeze, Charente Maritime",Francia,4,0,Extranjero,,,,,,,,563,1110,control 
A,NR44714,Calidris alpina,14,7,1993,"Seal Sands, Teesmoth, Cleveland",Gran Bretaña,4,0,Extranjero,,,,,,,,,,Anillamiento
C,NR44714,Calidris alpina,18,1,1999,"Salina del Pilar,Puerto Real, Cadiz",España,4,0,Zamalla,,,,,,,,2014,2045,control 
A,NR47760,Calidris alpina,13,5,1998,"Biggar Bank, Walney Islands, Cumbria",Gran Bretaña,6,0,Extranjero,,,,,,,,,,Anillamiento
C,NR47760,Calidris alpina,14,5,1999,"Salina del Pilar,Puerto Real, Cadiz",España,4,0,Zamalla,,,,,,,,366,1963,control 
A,NR60648,Calidris alpina,10,5,1994,"North Gare Sands, Teesmooth, Cleveland",Gran Bretaña,6,0,Extranjero,,,,,,,,,,Anillamiento
C,NR60648,Calidris alpina,7,9,1999,"Salina del Pilar,Puerto Real, Cadiz",España,4,0,Zamalla,,,,,,,,1946,2047,control 
A,NR78854,Calidris alpina,24,8,1996,"Seal Sands, Teesmoth, Cleveland",Gran Bretaña,3,0,Extranjero,,,,,,,,,,Anillamiento
C,NR78854,Calidris alpina,12,9,1999,"Salina del Pilar,Puerto Real, Cadiz",España,9,0,Zamalla,,,,,,,,1114,2045,control 
A,NS54701,Calidris alpina,11,5,1996,"Waterfoot, Dumfries, Galloway Region",Gran Bretaña,6,2,Extranjero,,,,,,,,,,Anillamiento
C,NS54701,Calidris alpina,24,4,1998,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,713,1978,control 
A,C8628956,Calidris alpina,6,10,1997,"Jomfruland, Kragero, Telenark",Noruega,3,0,Extranjero,,,,,,,,,,Anillamiento
C,C8628956,Calidris alpina,13,2,1999,"Salina del Pilar,Puerto Real, Cadiz",España,7,0,Zamalla,,,,,,,,495,2734,control 
A,JN56998,Calidris alpina,30,8,1993,"Ujscie Wisly K Swibna, Gdansk",Polonia,3,0,Extranjero,,,,,,,,,,Anillamiento
C,JN56998,Calidris alpina,8,4,1999,"Salina del Pilar,Puerto Real, Cadiz",España,A,0,Zamalla,,,,,,,,2047,2757,control 
A,T007727,Calidris ferruginea,17,8,1996,"Marismas del Odiel, Huelva",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,T007727,Calidris ferruginea,23,7,2000,"Ottenby, Oland",Suecia,4,0,Extranjero,,,,,,,,1436,2728,control 
A,81482239,Calidris ferruginea,15,5,1993,"Central Sivash II, Crimea",Ucrania,6,0,Extranjero,,,,,,,,,,Anillamiento
C,81482239,Calidris ferruginea,6,5,1999,"Salina del Pilar,Puerto Real, Cadiz",España,4,0,Zamalla,,,,,,,,2182,3493,control 
A,2286797,Calidris minuta,7,8,1991,"Veta la Palma, Puebla del Rio, Sevilla",España,4,1,M. Vazquez,,,,,,,,,,Anillamiento
C,2286797,Calidris minuta,28,7,1993,"Sappi Luvia, Turku Pori, Abo Bjorneborg",Finlandia,6,1,Extranjero,,,,,,,,721,3309,control 
A,E81599,Recurvirostra avosetta,11,6,1980,"Apetlon, Nez Neusiedl, Burgenland",Austria,1,0,Extranjero,,,,,,,,,,Anillamiento
C,E81599,Recurvirostra avosetta,15,7,1989,"Lucio de las Gavetas, Puebla del Rio",España,A,0,LEO BIAGGI,,,,,,,,,,Encontrado muerto
A,3415965,Recurvirostra avosetta,22,7,1996,"Wormer-En Jisperveld, Noord Holland",Holanda,3,0,Extranjero,,,,,,,,,,Anillamiento
C,3415965,Recurvirostra avosetta,6,9,1997,"Dehesa de Abajo, Puebla del Rio, Sevilla",España,5,0,M. Vazquez,,,,,,,,411,1893,Encontrado muerto
A,4071886,Himantopus himantopus,25,6,1998,"Los Palacios, Sevilla",España,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,4071886,Himantopus himantopus,10,7,2004,"Ksar Chellala, Argelia otras Provincias",Argelia,A,0,Extranjero,,,,,,,,2207,769,Encontrado muerto
A,EC89687,Burhinus oedicnemus,3,8,1994,Norfolk,Gran Bretaña,1,0,Extranjero,,,,,,,,,,Anillamiento
C,EC89687,Burhinus oedicnemus,15,1,1995,"La Roda, Sevilla",España,5,0,M. Vazquez,,,,,,,,165,1744,Cazado con escopeta
A,5202873,Larus fuscus,25,6,1987,"ECT Terrein, Maasulakte, Zuid Holland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,5202873,Larus fuscus,15,11,1988,"Puebla del Rio, Sevilla",España,5,0,LEO BIAGGI,,,,,,,,505,1815,Cazado con escopeta
A,4076860,Larus fuscus,25,7,1989,"Mikladi, Jylland, Jutland",Dinamarca,1,0,Extranjero,,,,,,,,,,Anillamiento
C,4076860,Larus fuscus,15,12,1989,"Puebla del Rio, Sevilla",España,3,0,LEO BIAGGI,,,,,,,,157,2818,Cazado con escopeta
A,GG44185,Larus fuscus,8,7,1990,"Ordfordness, Suffolk",Gran Bretaña,1,0,Extranjero,,,,,,,,,,Anillamiento
C,GG44185,Larus fuscus,9,9,1991,"Isla Mayor, Sevilla",España,5,0,LEO BIAGGI,,,,,,,,426,1770,Encontrado muerto
A,4167111,Larus fuscus,18,6,1991,"Rauna, Farsund, Vest Agder",Noruega,1,0,Extranjero,,,,,,,,,,Anillamiento
C,4167111,Larus fuscus,29,6,1996,"Marismas del Odiel, Huelva",España,A,0,M. Vazquez,,,,,,,,1960,2523,control 
A,4224148,Larus fuscus,12,7,2002,"Rauna, Farsund, Vest Agder",Noruega,1,0,Extranjero,,,,,,,,,,Anillamiento
C,4224148,Larus fuscus,21,9,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,5,0,M. Vazquez,,,,,,,,436,2457,control 
A,6017280,Larus fuscus,30,8,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,6017280,Larus fuscus,28,8,1992,"Merrynton, Near Larkhall, Strathclyde Region",Gran Bretaña,8,0,Extranjero,,,,,,,,729,2060,Colision con tendido electrico
A,MA11008,Larus canus,5,7,1985,"Skurvene, Hisoy, Aust Agder",Noruega,1,0,Extranjero,,,,,,,,,,Anillamiento
C,MA11008,Larus canus,4,2,1987,"Corta de la Cartuja, Sevilla",España,7,0,LEO BIAGGI,,,,,,,,,,Encontrado herida y no liberada
A,4T65312,Larus ridibundus,10,6,1989,"Genk, Limburg",Belgica,1,0,Extranjero,,,,,,,,,,Anillamiento
C,4T65312,Larus ridibundus,6,9,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,5,0,LEO BIAGGI,,,,,,,,451,1775,Encontrado muerto
A,FS11577,Larus ridibundus,1,6,1988,"Clepe, Loire",Francia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,FS11577,Larus ridibundus,9,9,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,7,0,LEO BIAGGI,,,,,,,,828,1272,Encontrado muerto
A,3438899,Larus ridibundus,8,6,1988,"Hellegatsplein, Noord Brabant",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,3438899,Larus ridibundus,5,8,1991,"Aznalcazar, Sevilla",España,9,0,LEO BIAGGI,,,,,,,,1152,1806,Encontrado muerto
A,311365,Larus ridibundus,2,6,1988,"Gagzdai, Klaipeda",Lituania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,311365,Larus ridibundus,3,9,1989,"Puebla del Rio, Sevilla",España,5,0,LEO BIAGGI,,,,,,,,456,2901,Encontrado muerto
A,375328,Larus ridibundus,1,6,1991,"Zatysiai, Jonava",Lituania,1,0,Extranjero,,,,,,,,,,Anillamiento
C,375328,Larus ridibundus,10,12,1991,"Puebla del Rio, Sevilla",España,3,0,LEO BIAGGI,,,,,,,,189,3008,Encontrado muerto
A,4003721,Larus ridibundus,7,9,1989,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,4,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,4003721,Larus ridibundus,27,3,1994,"Koln Longerich, Koln",Alemania,A,0,Extranjero,,,,,,,,1662,1837,Encontrado muerto
A,4030527,Larus ridibundus,3,9,1990,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,4030527,Larus ridibundus,10,5,1992,"Moerbeke Waas, Flandes Oriental",Belgica,7,0,Extranjero,,,,,,,,,,Encontrado muerto
A,ST52707,Larus ridibundus,30,6,1988,"Lieksa, Phojois Karjalan, Mikkili San Miguel",Finlandia,4,0,Extranjero,,,,,,,,,,Anillamiento
C,ST52707,Larus ridibundus,16,1,1989,"El Rubio, Sevilla",España,4,0,LEO BIAGGI,,,,,,,,200,3707,Cazado con escopeta
A,1373245,Sterna sandvicensis,29,5,1998,"Griend, Griend",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,1373245,Sterna sandvicensis,14,9,2001,"Salinas de Santa Teresa,Sanlucar de Barrameda, Cadiz",España,4,0,M. Vazquez,,,,,,,,1204,2040,control 
A,5063406,Streptopelia decaocto,4,10,2003,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,5063406,Streptopelia decaocto,23,9,2004,"Ria de Alvor, Faro, Algarve",Portugal,5,0,Extranjero,,,,,,,,355,216,control 
A,H78185,Tyto alba,23,6,1996,"Biwer, Luxemburgo",Luxemburgo,1,0,Extranjero,,,,,,,,,,Anillamiento
C,H78185,Tyto alba,1,12,1996,"Vejer de la Frontera, Cadiz",España,3,0,M. Vazquez,,,,,,,,161,1797,Atropellado
A,SA34145,Apus apus,22,6,1973,"Knresborogh, North Yorkshire",Gran Bretaña,4,0,Extranjero,,,,,,,,,,Anillamiento
C,SA34145,Apus apus,15,10,1984,"Cazalla de la Sierra, Sevilla",España,A,0,LEO BIAGGI,,,,,,,,3414,1819,Cazado con escopeta
A,3194350,Upupa epops,24,3,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,Zamalla,1,145,80,,,,,,,Anillamiento
C,3194350,Upupa epops,25,4,2007,"Monsegur, Landes",Francia,4,0,Extranjero,,,,,,,,762,799,Atropellado
A,220413,Anser anser,11,8,1983,Gulper See,Alemania,3,1,Extranjero,,,,,,,,,,Anillamiento
C,220413,Anser anser,17,6,2005,"Moguer, Huelva",España,A,0,M. Vazquez,,,,,,,,7981,2273,Encontrada solo anilla
A,9030456,Ciconia ciconia,17,6,2004,"Dehesa de Abajo, Puebla del Rio, Sevilla",España,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,9030456,Ciconia ciconia,5,7,2010,Ayoun El Atrouss,Mauritania,A,0,CRBPO,,,,,,,,2209,2297,Encontrado muerto
A,A5114,Ciconia ciconia,13,6,2006,"Manhein, Nordbaden, Karlsruhe",Alemania,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,A5114,Ciconia ciconia,20,8,2006,"Puerto Real, Cadiz",España,3,0,Extranjero,,,,,,,,68,1860,Colision con tendido electrico
A,DD62652,Sterna sandvicensis,1,7,2006,"Ogilby Island, Down",Gran Bretaña,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,DD62652,Sterna sandvicensis,13,3,2007,"Veta la Palma, Puebla del Rio, Sevilla",España,4,0,Extranjero,,,,,,,,255,1938,Encontrado muerto
A,2E1108,Phalacrocorax carbo,14,6,1999,"Yderste Holm, Stavns Fjord, Samso",Dinamarca,1,0,Extranjero,,,,,,,,,,Anillamiento
C,2E1108,Phalacrocorax carbo,15,11,2001,"San Fernando,Cadiz",España,5,0,M. Vazquez,,,,,,,,885,2499,Cazado con escopeta
A,GG25935,Larus fuscus,21,5,1989,"Swomer Island, Dyfed, Wales",Gran Bretaña,1,0,Extranjero,,,,,,,,,,Anillamiento
C,GG25935,Larus fuscus,30,8,1989,"Veta la Palma, Puebla del Rio, Sevilla",España,3,0,LEO BIAGGI,,,,,,,,,,Encontrado enfermo y  liberado
A,FS16993,Larus ridibundus,2,6,1990,"Craintilleux, Loire",Francia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,FS16993,Larus ridibundus,15,9,1990,"Puebla del Rio, Sevilla",España,3,0,LEO BIAGGI,,,,,,,,103,1258,Encontrado enfermo y  liberado
A,379265,Sterna caspia,17,6,1986,Tombamaa,Estonia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,379265,Sterna caspia,23,8,1991,"Isla Mayor, Sevilla",España,6,0,LEO BIAGGI,,,,,,,,1891,3144,Encontrado enfermo y  liberado
A,SA867098,Alauda arvensis,18,10,1994,"Tremblay sur Mauldre, Yvelines, Paris",Francia,4,2,Extranjero,,,,,,,,,,Anillamiento
C,SA867098,Alauda arvensis,26,2,1995,"Isla Mayor, Sevilla",España,2,0,LEO BIAGGI,,,,,,,,131,1448,Cazado con escopeta
A,232903,Riparia riparia,15,5,1988,"La Isleta, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,232903,Riparia riparia,22,3,1991,"PN Djoudj, Fleuve",Senegal,4,0,Extranjero,,,,,,,,1042,2528,control 
A,832254,Riparia riparia,14,8,1997,"El Pantano, Los Palacios, Sevilla",España,2,0,M. Vazquez,,,,,,,,,,Anillamiento
C,832254,Riparia riparia,20,5,1998,"Marateca, Setubal, Estremadura",Portugal,4,0,Extranjero,,,,,,,,279,298,control 
A,AF1338,Riparia riparia,4,9,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,AF1338,Riparia riparia,19,6,2000,"Mid Lairgs, Daviot, Highland Region",Gran Bretaña,4,2,Extranjero,,,,,,,,289,2252,control 
A,A161871,Riparia riparia,25,6,1998,"Paul da Madriz, Coimbra, Beira Litoral",Portugal,3,0,Extranjero,,,,,,,,,,Anillamiento
C,A161871,Riparia riparia,22,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,4,0,M. Vazquez,,,,,,,,423,402,control 
A,A166280,Riparia riparia,5,7,1999,"Paul da Madriz, Coimbra, Beira Litoral",Portugal,3,0,Extranjero,,,,,,,,,,Anillamiento
C,A166280,Riparia riparia,22,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,,,,,,,,48,404,Muerto en red japonesa ahogado
A,229553,Hirundo rustica,19,4,1988,"Puebla del Rio, Sevilla",España,1,0,LEO BIAGGI,,,,,,,,,,Anillamiento
C,229553,Hirundo rustica,8,5,1991,Missour,Marruecos,2,0,Extranjero,,,,,,,,1114,504,Encontrado muerto
A,309387,Hirundo rustica,4,5,1991,"Cortijo Saballo, Marinaleda, Sevilla",España,1,0,M. Vazquez,,,,,,,,,,Anillamiento
C,309387,Hirundo rustica,24,3,1992,Beni Mellal,Marruecos,5,0,Particular,,,,,,,,325,575,control 
A,AC5521,Hirundo rustica,21,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,AC5521,Hirundo rustica,24,1,2000,"Ebbajen, Boje",Nigeria,5,0,Particular,,,,,,,,156,3747,control 
A,AF1523,Hirundo rustica,4,9,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,AF1523,Hirundo rustica,19,4,2000,PN de Souss Massa,Marruecos,2,0,CRBPO,,,,,,,,228,869,Colision con un avion
A,N207694,Hirundo rustica,6,10,2005,"Caño Navarro, Coria del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,N207694,Hirundo rustica,13,5,2006,"Norton, South Yorks",Gran Bretaña,5,0,BTO,,130,19.1,,,,,219,1855,control 
A,1184479,Anthus pratensis,1,10,1982,"Overijse, Brabant",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,1184479,Anthus pratensis,5,12,1987,"Coria del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,1889,1706,Cazada
A,1235157,Anthus pratensis,9,10,1980,"Lokeren, Cost VL",Belgica,2,0,Extranjero,,,,,,,,,,Anillamiento
C,1235157,Anthus pratensis,2,11,1980,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,,,Cazada red de suelo
A,2265107,Anthus pratensis,23,9,1986,"Awirs, Luik, Lieja",Belgica,3,0,Extranjero,,,,,,,,,,Anillamiento
C,2265107,Anthus pratensis,30,6,1987,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,260,1758,Solo anilla
A,2279724,Anthus pratensis,13,10,1986,"Bellers, Henegouwen",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,2279724,Anthus pratensis,20,11,1988,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,767,1668,Cazada
A,2083874,Anthus pratensis,2,10,1988,"Neerpelt, Limburg",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
C,2083874,Anthus pratensis,12,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,,,,,,,,40,1760,Cazada con percha
A,2722123,Anthus pratensis,11,10,1987,"Merksplas, Antwerpen, Amberes",Belgica,4,0,Extranjero,,,,,,,,,,Anillamiento
